,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,OT,Arena,Visitor Miles,Home Miles
5608,2016-03-06,3:30p,Golden State Warriors,95,Los Angeles Lakers,112,None,STAPLES Center,543.5789904134948,0.0
5609,2016-03-06,3:30p,Oklahoma City Thunder,104,Milwaukee Bucks,96,None,BMO Harris Bradley Center,2941.1086929526373,0.0
5610,2016-03-06,4:00p,Phoenix Suns,109,Memphis Grizzlies,100,None,FedEx Forum,1099.8784110683698,0.0
5611,2016-03-06,5:00p,Dallas Mavericks,114,Denver Nuggets,116,OT,Pepsi Center,1066.1565415377668,0.0
5612,2016-03-06,6:00p,Portland Trail Blazers,103,Detroit Pistons,123,None,The Palace of Auburn Hills,332.19366550770116,774.1786166735133
5613,2016-03-06,6:00p,Philadelphia 76ers,98,Miami Heat,103,None,AmericanAirlines Arena,1637.7082950648175,1637.7082950648175
5614,2016-03-06,6:30p,Houston Rockets,113,Toronto Raptors,107,None,Air Canada Centre,704.7038435348661,0.0
5615,2016-03-07,7:00p,Minnesota Timberwolves,103,Charlotte Hornets,108,None,Time Warner Cable Arena,1511.6950009966115,0.0
5616,2016-03-07,7:00p,Memphis Grizzlies,106,Cleveland Cavaliers,103,None,Quicken Loans Arena,1013.6765412351525,0.0
5617,2016-03-07,7:00p,San Antonio Spurs,91,Indiana Pacers,99,None,Bankers Life Fieldhouse,1604.7198529026903,791.2164210344408
5618,2016-03-07,8:00p,Milwaukee Bucks,90,Chicago Bulls,100,None,United Center,130.94419067877172,0.0
5619,2016-03-07,8:00p,Sacramento Kings,112,New Orleans Pelicans,115,None,Smoothie King Center,809.0843167551981,0.0
5620,2016-03-07,8:30p,Los Angeles Clippers,109,Dallas Mavericks,90,None,American Airlines Center,1992.6964723321487,1066.1565415377668
5621,2016-03-07,10:30p,Orlando Magic,113,Golden State Warriors,119,None,Oracle Arena,3902.825332365219,543.5789904134948
5622,2016-03-08,7:30p,Brooklyn Nets,99,Toronto Raptors,104,None,Air Canada Centre,1114.2413124804623,0.0
5623,2016-03-08,8:00p,San Antonio Spurs,116,Minnesota Timberwolves,91,None,Target Center,823.0886926028779,1511.6950009966115
5624,2016-03-08,9:00p,New York Knicks,94,Denver Nuggets,110,None,Pepsi Center,2620.8041913583406,0.0
5625,2016-03-08,9:00p,Atlanta Hawks,91,Utah Jazz,84,None,Vivint Smart Home Arena,935.0094062976216,2305.868732364559
5626,2016-03-08,10:00p,Washington Wizards,109,Portland Trail Blazers,116,OT,Moda Center,3778.17159262437,3159.172259425165
5627,2016-03-08,10:30p,Orlando Magic,98,Los Angeles Lakers,107,None,STAPLES Center,543.5789904134948,0.0
5628,2016-03-09,7:00p,Memphis Grizzlies,96,Boston Celtics,116,None,TD Garden,883.7191492259007,883.7191492259007
5629,2016-03-09,7:00p,New Orleans Pelicans,113,Charlotte Hornets,122,None,Time Warner Cable Arena,1045.1976968600477,0.0
5630,2016-03-09,7:00p,Houston Rockets,118,Philadelphia 76ers,104,None,Wells Fargo Center,542.928552256814,1637.7082950648175
5631,2016-03-09,8:00p,Miami Heat,108,Milwaukee Bucks,114,None,BMO Harris Bradley Center,2044.1397744677774,130.94419067877172
5632,2016-03-09,8:30p,Detroit Pistons,102,Dallas Mavericks,96,None,American Airlines Center,1607.9039959506251,0.0
5633,2016-03-09,9:00p,New York Knicks,128,Phoenix Suns,97,None,Talking Stick Resort Arena,942.0879126577364,2027.3611317547932
5634,2016-03-09,9:30p,Los Angeles Clippers,108,Oklahoma City Thunder,120,None,Chesapeake Energy Arena,304.1139649104341,1179.033961443289
5635,2016-03-09,10:00p,Cleveland Cavaliers,120,Sacramento Kings,111,None,Sleep Train Arena,3374.7973037914144,3025.194887645035
5636,2016-03-09,10:30p,Utah Jazz,94,Golden State Warriors,115,None,Oracle Arena,947.6013765576201,0.0
5637,2016-03-10,7:30p,Atlanta Hawks,96,Toronto Raptors,104,None,Air Canada Centre,2680.3797195317893,0.0
5638,2016-03-10,8:00p,Chicago Bulls,101,San Antonio Spurs,109,None,AT&T Center,1689.0684331737357,1787.8246610385572
5639,2016-03-10,9:00p,Phoenix Suns,98,Denver Nuggets,116,None,Pepsi Center,942.0879126577364,0.0
5640,2016-03-10,10:30p,Cleveland Cavaliers,120,Los Angeles Lakers,108,None,STAPLES Center,581.6399730428296,0.0
5641,2016-03-11,7:00p,Detroit Pistons,103,Charlotte Hornets,118,None,Time Warner Cable Arena,1495.0845973053533,0.0
5642,2016-03-11,7:00p,Brooklyn Nets,89,Philadelphia 76ers,95,None,Wells Fargo Center,542.928552256814,0.0
5643,2016-03-11,7:30p,Houston Rockets,102,Boston Celtics,98,None,TD Garden,439.9176839066835,0.0
5644,2016-03-11,8:00p,Miami Heat,118,Chicago Bulls,96,None,United Center,130.94419067877172,1689.0684331737357
5645,2016-03-11,8:00p,New Orleans Pelicans,114,Memphis Grizzlies,121,OT,FedEx Forum,836.9478907808094,1825.8050140470373
5646,2016-03-11,8:00p,Minnesota Timberwolves,99,Oklahoma City Thunder,96,None,Chesapeake Energy Arena,1117.3383427562503,0.0
5647,2016-03-11,9:00p,Washington Wizards,93,Utah Jazz,114,None,Vivint Smart Home Arena,1020.1771987426814,947.6013765576201
5648,2016-03-11,10:00p,Orlando Magic,107,Sacramento Kings,100,None,Sleep Train Arena,581.6399730428296,0.0
5649,2016-03-11,10:30p,Portland Trail Blazers,112,Golden State Warriors,128,None,Oracle Arena,866.1730832332902,0.0
5650,2016-03-11,10:30p,New York Knicks,94,Los Angeles Clippers,101,None,STAPLES Center,576.6307756724622,1898.956851820289
5651,2016-03-12,2:00p,Indiana Pacers,112,Dallas Mavericks,105,None,American Airlines Center,1228.579705106625,0.0
5652,2016-03-12,7:00p,Houston Rockets,109,Charlotte Hornets,125,None,Time Warner Cable Arena,1159.7519810909537,0.0
5653,2016-03-12,7:00p,Detroit Pistons,125,Philadelphia 76ers,111,None,Wells Fargo Center,720.6861233431512,0.0
5654,2016-03-12,7:00p,Miami Heat,104,Toronto Raptors,112,OT,Air Canada Centre,704.7038435348661,0.0
5655,2016-03-12,7:30p,Memphis Grizzlies,83,Atlanta Hawks,95,None,Philips Arena,541.3140806398492,1181.8495202885229
5656,2016-03-12,7:30p,New Orleans Pelicans,92,Milwaukee Bucks,103,None,BMO Harris Bradley Center,896.2641667711999,0.0
5657,2016-03-12,8:30p,Oklahoma City Thunder,85,San Antonio Spurs,93,None,AT&T Center,676.726657279604,0.0
5658,2016-03-12,9:30p,Washington Wizards,100,Denver Nuggets,116,None,Pepsi Center,595.6237847192574,0.0
5659,2016-03-12,10:30p,Phoenix Suns,116,Golden State Warriors,123,None,Oracle Arena,1505.2240214573474,0.0
5660,2016-03-12,10:30p,Orlando Magic,84,Portland Trail Blazers,121,None,Moda Center,778.9831019202021,866.1730832332902
5661,2016-03-13,3:30p,Cleveland Cavaliers,114,Los Angeles Clippers,90,None,STAPLES Center,0.0,0.0
5662,2016-03-13,6:00p,Indiana Pacers,75,Atlanta Hawks,104,None,Philips Arena,1158.3484663603756,0.0
5663,2016-03-13,6:00p,Utah Jazz,108,Sacramento Kings,99,None,Sleep Train Arena,856.281216097772,0.0
5664,2016-03-13,8:00p,Milwaukee Bucks,109,Brooklyn Nets,100,None,Barclays Center,1182.525606821378,133.66905790186513
5665,2016-03-13,9:30p,New York Knicks,90,Los Angeles Lakers,87,None,STAPLES Center,0.0,0.0
5666,2016-03-14,7:00p,Dallas Mavericks,107,Charlotte Hornets,96,None,Time Warner Cable Arena,1495.0845973053533,0.0
5667,2016-03-14,7:30p,Denver Nuggets,119,Miami Heat,124,None,AmericanAirlines Arena,2777.330629273191,1987.620283538416
5668,2016-03-14,7:30p,Chicago Bulls,109,Toronto Raptors,107,None,Air Canada Centre,704.7038435348661,0.0
5669,2016-03-14,8:00p,Memphis Grizzlies,81,Houston Rockets,130,None,Toyota Center,1127.659010917122,1489.9547495993113
5670,2016-03-14,8:00p,Portland Trail Blazers,94,Oklahoma City Thunder,128,None,Chesapeake Energy Arena,2389.2671987162225,676.726657279604
5671,2016-03-14,8:00p,Detroit Pistons,81,Washington Wizards,124,None,Verizon Center,194.10551601585877,2399.453483070099
5672,2016-03-14,10:00p,Minnesota Timberwolves,104,Phoenix Suns,107,None,Talking Stick Resort Arena,1352.0317273275737,1032.7185490627774
5673,2016-03-14,10:30p,New Orleans Pelicans,107,Golden State Warriors,125,None,Oracle Arena,2941.1086929526373,0.0
5674,2016-03-14,10:30p,Cleveland Cavaliers,85,Utah Jazz,94,None,Vivint Smart Home Arena,935.0094062976216,856.281216097772
5675,2016-03-15,7:00p,Boston Celtics,98,Indiana Pacers,103,None,Bankers Life Fieldhouse,1296.198618585262,686.0579069501066
5676,2016-03-15,7:00p,Denver Nuggets,110,Orlando Magic,116,None,Amway Center,328.7388510040184,4063.606250547811
5677,2016-03-15,7:30p,Philadelphia 76ers,114,Brooklyn Nets,131,None,Barclays Center,133.66905790186513,0.0
5678,2016-03-15,8:00p,Toronto Raptors,107,Milwaukee Bucks,89,None,BMO Harris Bradley Center,693.3225759628674,1182.525606821378
5679,2016-03-15,8:30p,Los Angeles Clippers,87,San Antonio Spurs,108,None,AT&T Center,1940.63627735,0.0
5680,2016-03-15,10:30p,Sacramento Kings,106,Los Angeles Lakers,98,None,STAPLES Center,581.6399730428296,0.0
5681,2016-03-16,7:00p,Oklahoma City Thunder,130,Boston Celtics,109,None,TD Garden,2402.3790336487878,1296.198618585262
5682,2016-03-16,7:00p,Orlando Magic,99,Charlotte Hornets,107,None,Time Warner Cable Arena,745.2236815961941,0.0
5683,2016-03-16,7:00p,Dallas Mavericks,98,Cleveland Cavaliers,99,None,Quicken Loans Arena,701.3207936307006,2518.7476809381124
5684,2016-03-16,7:00p,Chicago Bulls,96,Washington Wizards,117,None,Verizon Center,563.258114910255,0.0
5685,2016-03-16,7:30p,Atlanta Hawks,118,Detroit Pistons,114,None,The Palace of Auburn Hills,961.6547109578556,636.8582387327476
5686,2016-03-16,8:00p,Minnesota Timberwolves,114,Memphis Grizzlies,108,None,FedEx Forum,2027.3611317547932,780.3775923799758
5687,2016-03-16,9:30p,Los Angeles Clippers,122,Houston Rockets,106,None,Toyota Center,299.59522540975945,0.0
5688,2016-03-16,10:00p,New Orleans Pelicans,123,Sacramento Kings,108,None,Sleep Train Arena,110.88235509533773,581.6399730428296
5689,2016-03-16,10:30p,New York Knicks,85,Golden State Warriors,121,None,Oracle Arena,543.5789904134948,0.0
5690,2016-03-17,7:00p,Toronto Raptors,101,Indiana Pacers,94,OT,Bankers Life Fieldhouse,393.2587038566132,0.0
5691,2016-03-17,7:00p,Washington Wizards,99,Philadelphia 76ers,94,None,Wells Fargo Center,194.10551601585877,133.66905790186513
5692,2016-03-17,7:30p,Charlotte Hornets,109,Miami Heat,106,None,AmericanAirlines Arena,1051.97249862019,0.0
5693,2016-03-17,8:00p,Denver Nuggets,98,Atlanta Hawks,116,None,Philips Arena,647.0588780891295,961.6547109578556
5694,2016-03-17,8:00p,Brooklyn Nets,102,Chicago Bulls,118,None,United Center,1151.242713652326,960.5310260305482
5695,2016-03-17,8:00p,Memphis Grizzlies,86,Milwaukee Bucks,96,None,BMO Harris Bradley Center,896.2641667711999,0.0
5696,2016-03-17,8:30p,Portland Trail Blazers,110,San Antonio Spurs,118,None,AT&T Center,676.726657279604,0.0
5697,2016-03-17,9:00p,Phoenix Suns,69,Utah Jazz,103,None,Vivint Smart Home Arena,814.3082955764366,0.0
5698,2016-03-18,7:00p,Cleveland Cavaliers,109,Orlando Magic,103,None,Amway Center,1441.1269752257033,745.2236815961941
5699,2016-03-18,7:00p,Oklahoma City Thunder,111,Philadelphia 76ers,97,None,Wells Fargo Center,439.9176839066835,0.0
5700,2016-03-18,7:30p,Sacramento Kings,108,Detroit Pistons,115,None,The Palace of Auburn Hills,3251.38493220164,0.0
5701,2016-03-18,7:30p,Boston Celtics,91,Toronto Raptors,105,None,Air Canada Centre,690.755401085842,708.584520813154
5702,2016-03-18,8:00p,Minnesota Timberwolves,111,Houston Rockets,116,None,Toyota Center,780.3775923799758,0.0
5703,2016-03-18,8:00p,Portland Trail Blazers,117,New Orleans Pelicans,112,None,Smoothie King Center,809.0843167551981,3025.194887645035
5704,2016-03-18,8:30p,Golden State Warriors,130,Dallas Mavericks,112,None,American Airlines Center,2362.3424930022743,1649.3767630173295
5705,2016-03-18,10:30p,Phoenix Suns,95,Los Angeles Lakers,90,None,STAPLES Center,935.0094062976216,0.0
5706,2016-03-19,6:00p,Denver Nuggets,101,Charlotte Hornets,93,None,Time Warner Cable Arena,364.5440925264182,1051.97249862019
5707,2016-03-19,7:00p,Brooklyn Nets,103,Detroit Pistons,115,None,The Palace of Auburn Hills,384.4697958316088,0.0
5708,2016-03-19,7:00p,Oklahoma City Thunder,115,Indiana Pacers,111,None,Bankers Life Fieldhouse,937.4436858678192,0.0
5709,2016-03-19,7:00p,New York Knicks,89,Washington Wizards,99,None,Verizon Center,3902.624706980078,194.10551601585877
5710,2016-03-19,7:30p,Houston Rockets,97,Atlanta Hawks,109,None,Philips Arena,1127.659010917122,0.0
5711,2016-03-19,7:30p,Cleveland Cavaliers,101,Miami Heat,122,None,AmericanAirlines Arena,328.7388510040184,0.0
5712,2016-03-19,8:00p,Utah Jazz,85,Chicago Bulls,92,None,United Center,2020.05892906959,0.0
5713,2016-03-19,8:00p,Los Angeles Clippers,102,Memphis Grizzlies,113,None,FedEx Forum,780.3775923799758,896.2641667711999
5714,2016-03-19,8:30p,Golden State Warriors,79,San Antonio Spurs,87,None,AT&T Center,404.88038844274155,0.0
5715,2016-03-20,4:00p,Portland Trail Blazers,120,Dallas Mavericks,132,OT,American Airlines Center,712.4456363798192,0.0
5716,2016-03-20,4:30p,Orlando Magic,100,Toronto Raptors,105,None,Air Canada Centre,1689.0884954880812,0.0
5717,2016-03-20,6:00p,Los Angeles Clippers,105,New Orleans Pelicans,109,None,Smoothie King Center,578.998800034611,0.0
5718,2016-03-20,6:00p,Boston Celtics,120,Philadelphia 76ers,105,None,Wells Fargo Center,542.928552256814,0.0
5719,2016-03-20,7:00p,Utah Jazz,94,Milwaukee Bucks,85,None,BMO Harris Bradley Center,130.94419067877172,0.0
5720,2016-03-20,7:30p,Sacramento Kings,88,New York Knicks,80,None,Madison Square Garden (IV),774.1786166735133,330.6014944059039
5721,2016-03-21,7:00p,San Antonio Spurs,88,Charlotte Hornets,91,None,Time Warner Cable Arena,1771.6732932911184,0.0
5722,2016-03-21,7:00p,Denver Nuggets,91,Cleveland Cavaliers,124,None,Quicken Loans Arena,701.3207936307006,1752.9743920334938
5723,2016-03-21,7:00p,Philadelphia 76ers,75,Indiana Pacers,91,None,Bankers Life Fieldhouse,937.4436858678192,0.0
5724,2016-03-21,7:30p,Orlando Magic,96,Boston Celtics,107,None,TD Garden,690.755401085842,439.9176839066835
5725,2016-03-21,7:30p,Milwaukee Bucks,91,Detroit Pistons,92,None,The Palace of Auburn Hills,404.9363596503264,0.0
5726,2016-03-21,8:00p,Washington Wizards,117,Atlanta Hawks,102,None,Philips Arena,873.0998748486302,0.0
5727,2016-03-21,8:00p,Sacramento Kings,102,Chicago Bulls,109,None,United Center,1148.3162681652743,0.0
5728,2016-03-21,8:00p,Golden State Warriors,109,Minnesota Timberwolves,104,None,Target Center,1787.8246610385572,1703.2301644142744
5729,2016-03-21,10:00p,Memphis Grizzlies,103,Phoenix Suns,97,None,Talking Stick Resort Arena,2027.3611317547932,576.6307756724622
5730,2016-03-22,7:30p,Charlotte Hornets,105,Brooklyn Nets,100,None,Barclays Center,854.1539374370707,777.7726679514896
5731,2016-03-22,8:00p,Miami Heat,113,New Orleans Pelicans,99,None,Smoothie King Center,1076.872980975482,0.0
5732,2016-03-22,8:00p,Houston Rockets,107,Oklahoma City Thunder,111,None,Chesapeake Energy Arena,1214.5677400173631,1107.8138293388251
5733,2016-03-22,10:30p,Memphis Grizzlies,100,Los Angeles Lakers,107,None,STAPLES Center,576.6307756724622,0.0
5734,2016-03-23,7:00p,Milwaukee Bucks,104,Cleveland Cavaliers,113,None,Quicken Loans Arena,146.96617784144016,0.0
5735,2016-03-23,7:00p,Atlanta Hawks,122,Washington Wizards,101,None,Verizon Center,873.0998748486302,873.0998748486302
5736,2016-03-23,7:30p,Toronto Raptors,79,Boston Celtics,91,None,TD Garden,690.755401085842,0.0
5737,2016-03-23,7:30p,Orlando Magic,102,Detroit Pistons,118,None,The Palace of Auburn Hills,984.6900985889087,0.0
5738,2016-03-23,8:00p,New York Knicks,115,Chicago Bulls,107,None,United Center,1148.3162681652743,0.0
5739,2016-03-23,8:00p,Utah Jazz,89,Houston Rockets,87,None,Toyota Center,1619.7806556089733,666.3361500189493
